osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/51680101,1,0.98,1.0,80.245,80.379,80.441,0.392,69.028,68.455,11.218,11.351,11.414,11.791,9.0,levels,2.218,office,2,,,475.4
way/51680103,1,0.786,1.0,69.631,70.06,70.215,0.974,65.442,64.606,4.189,4.618,4.773,5.025,,,,yes,,,,358.6
way/51680693,1,1.139,1.0,77.694,77.845,78.24,0.722,60.812,60.706,16.881,17.032,17.428,16.988,16.5,levels,0.381,yes,5,,,620.6
way/51769216,1,1.121,0.8,76.259,76.303,76.424,0.295,61.154,60.912,15.105,15.15,15.271,15.347,16.5,levels,-1.395,yes,5,,,1090.2
way/51769217,1,1.073,1.0,85.691,85.776,85.983,0.39,69.364,68.419,16.327,16.412,16.619,17.272,,,,yes,,,,424.0
way/51769218,1,1.042,1.0,92.753,93.158,93.269,1.067,74.538,72.657,18.215,18.621,18.732,20.096,19.5,levels,-1.285,yes,6,,,1270.2
way/51769219,1,0.724,1.0,127.761,128.221,132.366,8.347,74.348,72.709,53.413,53.873,58.018,55.052,37.5,levels,15.913,apartments,12,,Crown Plaza Park,982.3
way/51769220,1,0.942,1.0,109.734,111.431,111.871,2.137,79.517,79.46,30.217,31.914,32.354,30.274,30.0,height,0.217,apartments,9,30 m,,1339.4
way/51769221,1,1.382,0.722,85.909,86.355,86.575,1.432,79.254,78.841,6.655,7.101,7.321,7.068,7.5,levels,-0.845,yes,2,,,677.4
way/51769222,1,0.99,1.0,108.27,108.35,109.456,4.032,79.707,79.463,28.563,28.643,29.749,28.807,28.5,levels,0.063,yes,9,,,664.2
way/51769224,2,1.003,1.0,74.289,77.471,78.181,4.105,61.641,61.472,12.648,15.83,16.54,12.817,16.5,levels,-3.852,yes,5,,,1034.4
